# time[S]; data[V]
7.939995999999999679e-07;6.404310000000000558e-02
7.940995999999999754e-07;6.403520000000000045e-02
7.941995999999999829e-07;6.356409999999999838e-02
7.942995999999999904e-07;6.369149999999999812e-02
7.943995999999999979e-07;6.176229999999999914e-02
7.944996000000000054e-07;6.488969999999999461e-02
7.945996000000000129e-07;6.461100000000000176e-02
7.946996000000000204e-07;6.434299999999999742e-02
7.947996000000000280e-07;6.446899999999999853e-02
7.948996000000000355e-07;6.364509999999999612e-02
7.949996000000000430e-07;6.324299999999999367e-02
7.950995999999999446e-07;6.369020000000000237e-02
7.951995999999999521e-07;6.326819999999999666e-02
7.952995999999999596e-07;6.449820000000000553e-02
7.953995999999999672e-07;6.492810000000000248e-02
7.954995999999999747e-07;6.438810000000000366e-02
7.955995999999999822e-07;6.371269999999999711e-02
7.956995999999999897e-07;6.401389999999999858e-02
7.957995999999999972e-07;6.405769999999999520e-02
7.958996000000000047e-07;6.312760000000000593e-02
7.959996000000000122e-07;6.453670000000000240e-02
7.960996000000000197e-07;6.363580000000000625e-02
7.961996000000000273e-07;6.400859999999999883e-02
7.962996000000000348e-07;6.449960000000000415e-02
7.963996000000000423e-07;6.440540000000000154e-02
7.964995999999999439e-07;6.401389999999999858e-02
7.965995999999999514e-07;6.437350000000000017e-02
7.966995999999999589e-07;6.442130000000000078e-02
7.967995999999999665e-07;6.358540000000000025e-02
7.968995999999999740e-07;6.438019999999999854e-02
7.969995999999999815e-07;6.442390000000000616e-02
7.970995999999999890e-07;6.438810000000000366e-02
7.971995999999999965e-07;6.438939999999999941e-02
7.972996000000000040e-07;6.479680000000000162e-02
7.973996000000000115e-07;6.352040000000000464e-02
7.974996000000000190e-07;6.353889999999999538e-02
7.975996000000000266e-07;6.448230000000000628e-02
7.976996000000000341e-07;6.440800000000000691e-02
7.977996000000000416e-07;6.404179999999999595e-02
7.978995999999999432e-07;6.324570000000000192e-02
7.979995999999999507e-07;6.362249999999999850e-02
7.980995999999999582e-07;6.402850000000000208e-02
7.981995999999999658e-07;6.444379999999999553e-02
7.982995999999999733e-07;6.445979999999999766e-02
7.983995999999999808e-07;6.309579999999999356e-02
7.984995999999999883e-07;6.446240000000000303e-02
7.985995999999999958e-07;6.491750000000000298e-02
7.986996000000000033e-07;6.389980000000000659e-02
7.987996000000000108e-07;6.475960000000000050e-02
7.988996000000000183e-07;6.478620000000000212e-02
7.989996000000000259e-07;6.433899999999999342e-02
7.990996000000000334e-07;6.305600000000000094e-02
7.991996000000000409e-07;6.406829999999999470e-02
7.992995999999999425e-07;6.590469999999999662e-02
7.993995999999999500e-07;6.373260000000000036e-02
7.994995999999999575e-07;6.477689999999999837e-02
7.995995999999999651e-07;6.530629999999999769e-02
7.996995999999999726e-07;6.470919999999999450e-02
7.997995999999999801e-07;6.431380000000000430e-02
7.998995999999999876e-07;6.433239999999999792e-02
7.999995999999999951e-07;6.434700000000000142e-02
8.000996000000000026e-07;6.433640000000000192e-02
8.001996000000000101e-07;6.435359999999999692e-02
